tf_id	binding_site_id	perturbation_type	comparison	split_seed	n_perturbations	n_positions	global_status	global_spearman	global_pearson	global_mae	position_status	position_spearman	position_pearson	identity_status	identity_pairwise_status	n_identity_perturbations	n_identity_positions	n_identity_pairs	identity_residual_spearman	identity_residual_pearson	identity_pairwise_accuracy	identity_kendall_style_concordance	fraction_position_a	fraction_identity_a	fraction_position_b	fraction_identity_b
Cbf1	Cbf1	mismatch	technical_spot_split_A_vs_B	1301	144	12	EVALUABLE	0.9585764809902741	0.994745631229958	0.17290448207256554	EVALUABLE	0.9230769230769231	0.9992148097786818	EVALUABLE	EVALUABLE	144	12	792	0.9198979181737803	0.9721071499065307	0.7954545454545454	0.5909090909090908	0.8211482789949484	0.17885172100505167	0.8217147721616025	0.17828522783839756
Egr1	Egr1	mismatch	technical_spot_split_A_vs_B	1301	144	12	EVALUABLE	0.9827144120247568	0.9943123344500233	0.13208075105452854	EVALUABLE	0.9790209790209792	0.9992117171520256	EVALUABLE	EVALUABLE	144	12	792	0.9109436540471023	0.9814288510844236	0.8232323232323232	0.6464646464646464	0.711161532688379	0.2888384673116208	0.7163633737929752	0.28363662620702473
Ets1	Ets1_site_1	mismatch	technical_spot_split_A_vs_B	1301	132	11	EVALUABLE	0.9892485742197729	0.9940277468775633	0.11554269539895975	EVALUABLE	0.990909090909091	0.9992742450677108	EVALUABLE	EVALUABLE	132	11	726	0.971319147056324	0.9879851281043073	0.8767217630853994	0.7534435261707988	0.5262046280207441	0.47379537197925586	0.5175322434124985	0.4824677565875014
Ets1	Ets1_site_3	mismatch	technical_spot_split_A_vs_B	1301	132	11	EVALUABLE	0.5800249615201776	0.8947774487552216	0.11899373548290434	EVALUABLE	0.790909090909091	0.9374385409334894	EVALUABLE	EVALUABLE	132	11	713	0.5306311465578719	0.8903345171264779	0.6241234221598878	0.24824684431977562	0.11921862346556297	0.8807813765344373	0.1613676420871784	0.8386323579128216
GR	GR	mismatch	technical_spot_split_A_vs_B	1301	180	15	EVALUABLE	0.939035155406031	0.9503326543853553	0.22959807042439134	EVALUABLE	0.9857142857142854	0.9954173581786074	EVALUABLE	EVALUABLE	180	15	990	0.8547815261787916	0.8871262241414213	0.803030303030303	0.606060606060606	0.5783790025980893	0.4216209974019108	0.5783232414306254	0.4216767585693745
Max	Max_site_1	mismatch	technical_spot_split_A_vs_B	1301	144	12	EVALUABLE	0.9646551013887577	0.9867535840829535	0.8021032684891982	EVALUABLE	0.9300699300699302	0.989850077113805	EVALUABLE	EVALUABLE	144	12	792	0.8922313318865044	0.9448286699301209	0.8345959595959596	0.6691919191919191	0.8172085988636597	0.18279140113634038	0.8100031918193639	0.18999680818063644
Max	Max_site_2	mismatch	technical_spot_split_A_vs_B	1301	144	12	EVALUABLE	0.8401327872888407	0.9015340479945	0.27434080899174684	EVALUABLE	0.8741258741258742	0.9541777465892682	EVALUABLE	EVALUABLE	144	12	792	0.609392331806125	0.8361407308168263	0.6868686868686869	0.3737373737373737	0.45685071665538945	0.5431492833446105	0.4415740627413273	0.5584259372586727
TBP	TBP_site_1	mismatch	technical_spot_split_A_vs_B	1301	120	10	EVALUABLE	0.9582332106396276	0.9821667278859426	0.0887591961633726	EVALUABLE	0.9757575757575757	0.9961112785629133	EVALUABLE	EVALUABLE	120	10	660	0.8952357802625182	0.9488171376501444	0.8378787878787879	0.6757575757575758	0.6661620273682707	0.33383797263172954	0.6773955335263186	0.3226044664736818
TBP	TBP_site_2	mismatch	technical_spot_split_A_vs_B	1301	120	10	EVALUABLE	0.9642197374817695	0.9828771613569223	0.11340192997692292	EVALUABLE	0.8545454545454544	0.9826422278364987	EVALUABLE	EVALUABLE	120	10	660	0.9282033474546842	0.9519792791324003	0.8590909090909091	0.7181818181818183	0.6655092628674005	0.33449073713259925	0.6756197243713279	0.32438027562867205
p53	p53	mismatch	technical_spot_split_A_vs_B	1301	192	16	EVALUABLE	0.9257197063796091	0.9442809051960388	0.8224299758111396	EVALUABLE	0.6029411764705882	0.7367882241922243	EVALUABLE	EVALUABLE	192	16	1056	0.8816466043385269	0.9280028956862955	0.8319128787878788	0.6638257575757576	0.26905258833292045	0.7309474116670797	0.27956415170150717	0.7204358482984928
